sample_id, sample_time_start, sample_time_end, port_0_rx_bytes, port_0_tx_bytes, port_0_rx_packets, port_0_tx_packets, pcie_link_latency_total_read_packets, pcie_link_latency_total_read_ns, pcie_link_latency_max_read_ns, pcie_link_latency_min_read_ns
0,1284272.239485104,1284272.239522424, 22652510448643, 9567863913381946, 237326733357, 8900272093411, 1077, 672855, 1053, 483
1,1284272.239586724,1284272.239624016, 22652510449643, 9567863914626494, 237326733367, 8900272094561, 1089, 671241, 1026, 483
2,1284272.239768006,1284272.239804802, 22652510451443, 9567863916848146, 237326733383, 8900272096614, 1082, 676912, 1083, 483
3,1284272.239868144,1284272.239905182, 22652510452443, 9567863918080140, 237326733393, 8900272097752, 1073, 666439, 1030, 483
4,1284272.239968854,1284272.240006100, 22652510453243, 9567863919316352, 237326733403, 8900272098895, 1074, 672666, 980, 483
5,1284272.240069748,1284272.240106804, 22652510454243, 9567863920552180, 237326733411, 8900272100036, 1074, 666414, 983, 485
6,1284272.240170738,1284272.240207882, 22652510455243, 9567863921791074, 237326733421, 8900272101186, 1072, 661980, 1033, 483
7,1284272.240271924,1284272.240309186, 22652510456243, 9567863923035812, 237326733431, 8900272102335, 1080, 668798, 975, 483
8,1284272.240371950,1284272.240409290, 22652510457043, 9567863924263018, 237326733441, 8900272103468, 1064, 662910, 1050, 485
9,1284272.240473054,1284272.240510118, 22652510458043, 9567863925501528, 237326733451, 8900272104612, 1073, 654357, 985, 483
10,1284272.240574124,1284272.240611174, 22652510459043, 9567863926742242, 237326733459, 8900272105761, 1080, 664662, 989, 485
11,1284272.240675200,1284272.240712322, 22652510460043, 9567863927985736, 237326733469, 8900272106908, 1072, 661458, 1010, 485
12,1284272.240776938,1284272.240814236, 22652510461043, 9567863929234212, 237326733479, 8900272108062, 1084, 673110, 1046, 483
13,1284272.240877206,1284272.240914328, 22652510461843, 9567863930462088, 237326733489, 8900272109198, 1065, 659996, 987, 483
14,1284272.240978452,1284272.241015524, 22652510462843, 9567863931704718, 237326733497, 8900272110346, 1085, 669623, 978, 487
15,1284272.241079048,1284272.241116528, 22652510463843, 9567863932947254, 237326733507, 8900272111493, 1075, 666430, 1008, 483
16,1284272.241179086,1284272.241216392, 22652510464643, 9567863934169666, 237326733517, 8900272112623, 1054, 654694, 1007, 485
17,1284272.241279214,1284272.241316240, 22652510465643, 9567863935395624, 237326733527, 8900272113756, 1064, 656266, 985, 485
18,1284272.241380772,1284272.241417926, 22652510466643, 9567863936644484, 237326733537, 8900272114912, 1087, 667348, 987, 485
19,1284272.241480778,1284272.241517928, 22652510467643, 9567863937874082, 237326733545, 8900272116045, 1063, 654183, 983, 485
20,1284272.241581354,1284272.241618664, 22652510468643, 9567863939109048, 237326733555, 8900272117187, 1072, 665466, 1035, 480
21,1284272.241682124,1284272.241719214, 22652510469443, 9567863940342480, 237326733565, 8900272118327, 1070, 662314, 989, 485
22,1284272.241782830,1284272.241819994, 22652510470443, 9567863941579074, 237326733575, 8900272119473, 1076, 667276, 1042, 483
23,1284272.241883350,1284272.241920450, 22652510471443, 9567863942814710, 237326733583, 8900272120612, 1070, 659035, 1012, 485
24,1284272.241983582,1284272.242020856, 22652510472443, 9567863944044214, 237326733593, 8900272121748, 1068, 656623, 987, 485
25,1284272.242084028,1284272.242121050, 22652510473243, 9567863945274676, 237326733603, 8900272122885, 1065, 661751, 996, 482
26,1284272.242184686,1284272.242221764, 22652510474243, 9567863946510312, 237326733611, 8900272124029, 1076, 665103, 1014, 483
27,1284272.242285416,1284272.242322518, 22652510475243, 9567863947749684, 237326733621, 8900272125172, 1068, 661246, 994, 485
28,1284272.242386434,1284272.242423714, 22652510476243, 9567863948989632, 237326733631, 8900272126317, 1078, 665260, 996, 482
29,1284272.242487984,1284272.242525026, 22652510477043, 9567863950232456, 237326733641, 8900272127467, 1082, 667460, 983, 485
30,1284272.242588798,1284272.242625852, 22652510478043, 9567863951470008, 237326733651, 8900272128613, 1081, 673646, 1033, 483
31,1284272.242690162,1284272.242727188, 22652510479043, 9567863952716280, 237326733659, 8900272129762, 1079, 675855, 985, 482
32,1284272.242790396,1284272.242827580, 22652510480043, 9567863953946262, 237326733669, 8900272130899, 1058, 657007, 1001, 478
33,1284272.242891342,1284272.242928394, 22652510481043, 9567863955183432, 237326733679, 8900272132043, 1076, 656376, 983, 482
34,1284272.242992620,1284272.243029542, 22652510481843, 9567863956425298, 237326733689, 8900272133192, 1083, 668960, 994, 487
35,1284272.243093666,1284272.243130772, 22652510482843, 9567863957668886, 237326733697, 8900272134339, 1080, 665158, 991, 485
36,1284272.243195674,1284272.243232830, 22652510483843, 9567863958919470, 237326733707, 8900272135495, 1088, 664242, 985, 485
37,1284272.243296954,1284272.243333942, 22652510484843, 9567863960160472, 237326733717, 8900272136642, 1068, 666628, 991, 487
38,1284272.243398640,1284272.243435624, 22652510485843, 9567863961408662, 237326733727, 8900272137798, 1086, 668500, 994, 482
39,1284272.243500014,1284272.243537010, 22652510486643, 9567863962654840, 237326733737, 8900272138948, 1080, 666458, 992, 485
40,1284272.243601708,1284272.243638884, 22652510487643, 9567863963902836, 237326733745, 8900272140101, 1081, 672753, 978, 483
41,1284272.243703106,1284272.243740048, 22652510488643, 9567863965144222, 237326733755, 8900272141248, 1077, 663200, 982, 483
42,1284272.243803712,1284272.243840684, 22652510489643, 9567863966379762, 237326733765, 8900272142392, 1064, 651076, 1010, 480
43,1284272.243905344,1284272.243942348, 22652510490643, 9567863967629866, 237326733775, 8900272143546, 1084, 673848, 1003, 482
44,1284272.244006416,1284272.244043600, 22652510491443, 9567863968869912, 237326733785, 8900272144692, 1078, 661957, 996, 487
45,1284272.244108060,1284272.244144960, 22652510492443, 9567863970114172, 237326733793, 8900272145841, 1080, 664708, 1008, 483
46,1284272.244208478,1284272.244245480, 22652510493443, 9567863971347124, 237326733803, 8900272146983, 1074, 667455, 992, 485
47,1284272.244309864,1284272.244346884, 22652510494243, 9567863972594164, 237326733813, 8900272148133, 1073, 652033, 976, 485
48,1284272.244411462,1284272.244448960, 22652510495243, 9567863973844556, 237326733823, 8900272149289, 1087, 676260, 1037, 483
49,1284272.244512148,1284272.244549146, 22652510496243, 9567863975074156, 237326733833, 8900272150425, 1068, 661621, 1048, 485
50,1284272.244612348,1284272.244649354, 22652510497243, 9567863976303754, 237326733841, 8900272151564, 1068, 659617, 992, 483
51,1284272.244713522,1284272.244750570, 22652510498243, 9567863977548492, 237326733851, 8900272152712, 1080, 664100, 998, 485
52,1284272.244814878,1284272.244852222, 22652510499043, 9567863978792562, 237326733861, 8900272153862, 1077, 658276, 987, 483
53,1284272.244915148,1284272.244952292, 22652510500043, 9567863980021012, 237326733871, 8900272154998, 1067, 650116, 991, 485
54,1284272.245015248,1284272.245052284, 22652510501043, 9567863981249268, 237326733879, 8900272156134, 1072, 660360, 1060, 483
55,1284272.245116776,1284272.245153700, 22652510502043, 9567863982497266, 237326733889, 8900272157285, 1083, 665648, 1001, 485
56,1284272.245218270,1284272.245255440, 22652510502843, 9567863983742582, 237326733899, 8900272158437, 1080, 672678, 992, 485
57,1284272.245319084,1284272.245356096, 22652510503843, 9567863984977834, 237326733909, 8900272159578, 1069, 662432, 991, 485
58,1284272.245419918,1284272.245456912, 22652510504843, 9567863986216056, 237326733918, 8900272160725, 1078, 664860, 978, 483
59,1284272.245520624,1284272.245557484, 22652510505843, 9567863987453322, 237326733927, 8900272161865, 1073, 668330, 994, 483
60,1284272.245620658,1284272.245657782, 22652510506843, 9567863988681004, 237326733937, 8900272163000, 1064, 657301, 998, 482
61,1284272.245721590,1284272.245758518, 22652510507643, 9567863989917312, 237326733947, 8900272164143, 1073, 663023, 998, 483
62,1284272.245822108,1284272.245859128, 22652510508643, 9567863991151702, 237326733955, 8900272165286, 1076, 658860, 975, 483
63,1284272.245923802,1284272.245960900, 22652510509643, 9567863992402478, 237326733965, 8900272166440, 1080, 671383, 978, 485
64,1284272.246025202,1284272.246063138, 22652510510643, 9567863993649900, 237326733975, 8900272167597, 1088, 665430, 980, 483
65,1284272.246125994,1284272.246163126, 22652510511443, 9567863994881896, 237326733985, 8900272168732, 1065, 660778, 1014, 483
66,1284272.246227418,1284272.246264434, 22652510512443, 9567863996125676, 237326733995, 8900272169884, 1081, 669560, 987, 482
67,1284272.246328722,1284272.246365750, 22652510513443, 9567863997371470, 237326734003, 8900272171033, 1081, 669483, 982, 483
68,1284272.246428802,1284272.246465944, 22652510514443, 9567863998599630, 237326734013, 8900272172168, 1060, 661041, 1048, 485
69,1284272.246530002,1284272.246567136, 22652510515443, 9567863999840154, 237326734023, 8900272173315, 1080, 672292, 991, 485
70,1284272.246631342,1284272.246668396, 22652510516243, 9567864001083074, 237326734033, 8900272174467, 1084, 671292, 992, 482
71,1284272.246732882,1284272.246769962, 22652510517243, 9567864002331932, 237326734041, 8900272175617, 1084, 671503, 987, 487
72,1284272.246833100,1284272.246870312, 22652510518243, 9567864003561818, 237326734051, 8900272176754, 1069, 659716, 1003, 483
73,1284272.246933902,1284272.246970936, 22652510519043, 9567864004797360, 237326734061, 8900272177896, 1067, 663716, 983, 483
74,1284272.247035414,1284272.247072634, 22652510520043, 9567864006045262, 237326734071, 8900272179051, 1086, 668496, 982, 483
75,1284272.247135868,1284272.247172914, 22652510521043, 9567864007279652, 237326734081, 8900272180188, 1068, 658769, 969, 482
76,1284272.247236020,1284272.247273204, 22652510522043, 9567864008507718, 237326734089, 8900272181324, 1065, 659492, 996, 482
77,1284272.247336722,1284272.247373850, 22652510523043, 9567864009742970, 237326734099, 8900272182465, 1072, 663880, 985, 485
78,1284272.247437700,1284272.247474752, 22652510523843, 9567864010981002, 237326734109, 8900272183612, 1073, 664569, 987, 485
79,1284272.247538962,1284272.247575966, 22652510524843, 9567864012226220, 237326734119, 8900272184761, 1082, 661875, 978, 485
80,1284272.247640226,1284272.247677522, 22652510525843, 9567864013469906, 237326734127, 8900272185910, 1081, 668058, 1001, 485
81,1284272.247741968,1284272.247779022, 22652510526843, 9567864014715698, 237326734137, 8900272187061, 1086, 672121, 989, 485
82,1284272.247842376,1284272.247879448, 22652510527643, 9567864015948462, 237326734147, 8900272188204, 1071, 664482, 1030, 487
83,1284272.247943758,1284272.247980786, 22652510528709, 9567864017194732, 237326734158, 8900272189353, 1074, 691723, 1094, 489
84,1284272.248045474,1284272.248082690, 22652510529709, 9567864018442058, 237326734168, 8900272190507, 1080, 680510, 1033, 485
85,1284272.248145750,1284272.248182696, 22652510530709, 9567864019670028, 237326734176, 8900272191641, 1064, 657055, 1028, 483
86,1284272.248246136,1284272.248283184, 22652510531709, 9567864020903364, 237326734186, 8900272192783, 1075, 661905, 1010, 483
87,1284272.248347124,1284272.248384098, 22652510532509, 9567864022144654, 237326734196, 8900272193928, 1076, 666637, 982, 487
88,1284272.248448956,1284272.248486144, 22652510533509, 9567864023393514, 237326734204, 8900272195082, 1087, 667125, 998, 483
